company_name,work_permits,city,revenue_msek,employees,segment,tier,notes
Ericsson Ab,1290,Kista,139441.0,13529.0,Telecom,Tier 1,HQ in Kista
Tata Consultancy Services Sverige,1117,Stockholm,5630.0,1000.0,IT Consulting,Tier 1,Indian IT giant
H & M Hennes & Mauritz Gbc Ab,444,Stockholm,,,Retail HQ,Tier 1,Global HQ
Klarna Bank Ab,299,Stockholm,3162.0,851.0,Fintech,Tier 1,High growth ratio
Swedbank Ab,176,Sundbyberg,,7500.0,Banking,Tier 1,Major bank
