priority,company_name,work_permits,location_hq,employees,revenue_msek,contact_name,contact_title,contact_linkedin
Tier 3 - Standard,Hitachi Energy Sweden Ab,30,Västerås,5757.0,35610.0,,,
Tier 3 - Standard,Northvolt Systems Ab,29,Stockholm,383.0,1052.0,,,
Tier 3 - Standard,Vattenfall Ab,29,Solna,2391.0,47711.0,,,
Tier 3 - Standard,"Amazon Web Services Emea Sarl, Sverige Filial",29,Stockholm,,,,,
Tier 3 - Standard,Länsförsäkringar Ab (Publ),29,Stockholm,,,,,
Tier 3 - Standard,Pramit Construction Filial,29,Stockholm,,,,,
Tier 3 - Standard,Tink Ab,28,Stockholm,,,,,
Tier 3 - Standard,Kungliga Tekniska Högskolan,28,Stockholm,5000.0,,,,
Tier 3 - Standard,L&T Technology Services Sverige Filial,28,Stockholm,,,,,
Tier 3 - Standard,Nasdaq Technology Ab,27,Stockholm,,,,,
Tier 3 - Standard,Hi3g Access Ab,27,Stockholm,,,,,
Tier 3 - Standard,Knowit Connectivity Ab,27,Stockholm,281.0,567.0,,,
Tier 3 - Standard,Attendo Sverige Ab,26,Danderyd,7146.0,5344.0,,,
Tier 3 - Standard,Folktandvården Stockholms Län Ab,25,Stockholm,1885.0,1936.0,,,
Tier 3 - Standard,Oneflow Ab,24,Stockholm,134.0,175.0,,,
Tier 3 - Standard,Netlight Consulting Ab,24,Stockholm,851.0,1145.0,,,
Tier 3 - Standard,Knightec Aktiebolag,23,Örnsköldsvik,683.0,935.0,,,
Tier 3 - Standard,H2gs Ab,23,Stockholm,,,,,
Tier 3 - Standard,Samsung Electronics Nordic Aktiebolag,23,Kista,288.0,19543.0,,,
Tier 3 - Standard,Sushi Centralen Ab,22,Stockholm,,,,,
Tier 3 - Standard,Rebtel Networks Ab,22,Stockholm,44.0,1354.0,,,
Tier 3 - Standard,Mckinsey & Company Service Ab,22,Stockholm,361.0,1055.0,,,
Tier 3 - Standard,Randstad Ab,22,Solna,2972.0,2513.0,,,
Tier 3 - Standard,Come On Stockholm Ab,22,Stockholm,,,,,
Tier 3 - Standard,E & E Ventilation Stockholm Ab,22,Stockholm,,,,,
Tier 3 - Standard,Resolution Games Ab,22,Stockholm,126.0,183.0,,,
Tier 3 - Standard,Snow Software Ab,22,Solna,21.0,99.0,,,
Tier 3 - Standard,Transtema Network Services Ab,21,Mölndal,755.0,1353.0,,,
Tier 3 - Standard,Sweco Sverige Ab,21,Stockholm,6347.0,9283.0,,,
Tier 3 - Standard,Abb Ab,21,Västerås,3087.0,17840.0,,,
